card_id,set_code,number,name,subtype,text,rarity,artist
base1-85,base1,85,Pokémon Center,Trainer,"Remove all damage counters from all of your own Pokémon with damage counters on them, then discard all Energy cards attached to those Pokémon.",Uncommon,Keiji Kinebuchi
base1-86,base1,86,Pokémon Flute,Trainer,Choose 1 Basic Pokémon card from your opponent's discard pile and put it onto his or her Bench. (You can't play Pokémon Flute if your opponent's Bench is full.),Uncommon,Keiji Kinebuchi
base1-87,base1,87,Pokédex,Trainer,Look at up to 5 cards from the top of your deck and rearrange them as you like.,Uncommon,Keiji Kinebuchi
base1-88,base1,88,Professor Oak,Trainer,"Discard your hand, then draw 7 cards.",Uncommon,Ken Sugimori
base1-89,base1,89,Revive,Trainer,Put 1 Basic Pokémon card from your discard pile onto your Bench. Put damage counters on that Pokémon equal to half its HP (rounded down to the nearest 10). (You can't play Revive if your Bench is full.),Uncommon,Keiji Kinebuchi
base1-90,base1,90,Super Potion,Trainer,Discard 1 Energy card attached to your own Pokémon in order to remove up to 4 damage counters from that Pokémon.,Uncommon,Keiji Kinebuchi
base1-91,base1,91,Bill,Trainer,Draw 2 cards.,Common,Ken Sugimori
base1-92,base1,92,Energy Removal,Trainer,Choose 1 Energy card attached to 1 of your opponent's Pokémon and discard it.,Common,Keiji Kinebuchi
base1-93,base1,93,Gust of Wind,Trainer,Choose 1 of your opponent's Benched Pokémon and switch it with his or her Active Pokémon.,Common,Keiji Kinebuchi
base1-94,base1,94,Potion,Trainer,Remove up to 2 damage counters from 1 of your Pokémon.,Common,Keiji Kinebuchi
base1-95,base1,95,Switch,Trainer,Switch 1 of your own Benched Pokémon with your Active Pokémon.,Common,Keiji Kinebuchi
base2-64,base2,64,Poké Ball,Trainer,"Flip a coin. If heads, you may search your deck for any Basic Pokémon or Evolution card. Show that card to your opponent, then put it into your hand. Shuffle your deck afterward.",Common,Keiji Kinebuchi
base3-58,base3,58,Mr. Fuji,Trainer,Choose a Pokémon on your Bench. Shuffle it and any cards attached to it into your deck.,Uncommon,Ken Sugimori
base3-59,base3,59,Energy Search,Trainer,Search your deck for a basic Energy card and put it into your hand. Shuffle your deck afterward.,Common,Keiji Kinebuchi
base3-60,base3,60,Gambler,Trainer,"Shuffle your hand into your deck. Flip a coin. If heads, draw 8 cards. If tails, draw 1 card.",Common,Keiji Kinebuchi
base3-61,base3,61,Recycle,Trainer,"Flip a coin. If heads, put a card in your discard pile on top of your deck.",Common,Keiji Kinebuchi
base3-62,base3,62,Mysterious Fossil,Trainer,"Play Mysterious Fossil as if it were a Basic Pokémon. While in play, Mysterious Fossil counts as a Pokémon (instead of a Trainer card). Mysterious Fossil has no attacks, can't retreat, and can't be Asleep, Confused, Paralyzed, or Poisoned. If Mysterious Fossil is Knocked Out, it doesn't count as a Knocked Out Pokémon. (Discard it anyway.) At any time during your turn before your attack, you may discard Mysterious Fossil from play.",Common,Keiji Kinebuchi
