card_id,set_code,number,name,stage,evolves_from,hp,type,weakness_type,weakness_value,resistance_type,resistance_value,retreat_cost,rarity,dex_number,power_type,power_name,power_text,attack1_name,attack1_cost,attack1_damage,attack1_text,attack2_name,attack2_cost,attack2_damage,attack2_text,attack3_name,attack3_cost,attack3_damage,attack3_text,artist,flavor_text
base1-13,base1,13,Poliwrath,Stage 2,Poliwhirl,90,W,G,x2,,,3,Rare Holo,62,,,,Water Gun,WWC,30+,Does 30 damage plus 10 more damage for each Water Energy attached to Poliwrath but not used to pay for this attack's Energy cost. Extra Water Energy after the 2nd doesn't count.,Whirlpool,WWCC,40,"If the Defending Pokémon has any Energy cards attached to it, choose 1 of them and discard it.",,,,,Ken Sugimori,An adept swimmer at both the front crawl and breaststroke. Easily overtakes the best human swimmers.
base1-14,base1,14,Raichu,Stage 1,Pikachu,80,L,F,x2,,,1,Rare Holo,26,,,,Agility,LCC,20,"Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Raichu.",Thunder,LLLC,60,"Flip a coin. If tails, Raichu does 30 damage to itself.",,,,,Ken Sugimori,Its long tail serves as a ground to protect itself from its own high-voltage power.
base1-15,base1,15,Venusaur,Stage 2,Ivysaur,100,G,R,x2,,,2,Rare Holo,3,Pokémon Power,Energy Trans,"As often as you like during your turn (before your attack), you may take 1 Grass Energy card attached to 1 of your Pokémon and attach it to a different one. This power can't be used if Venusaur is Asleep, Confused, or Paralyzed.",Solarbeam,GGGG,60,,,,,,,,,,Mitsuhiro Arita,This plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
base1-16,base1,16,Zapdos,Basic,,90,L,,,F,-30,3,Rare Holo,145,,,,Thunder,LLLC,60,"Flip a coin. If tails, Zapdos does 30 damage to itself.",Thunderbolt,LLLL,100,Discard all Energy cards attached to Zapdos in order to use this attack.,,,,,Ken Sugimori,A legendary bird Pokémon said to appear from clouds while wielding enormous lightning bolts.
base1-17,base1,17,Beedrill,Stage 2,Kakuna,80,G,R,x2,F,-30,0,Rare,15,,,,Twineedle,CCC,30×,Flip 2 coins. This attack does 30 damage times the number of heads.,Poison Sting,GGG,40,"Flip a coin. If heads, the Defending Pokémon is now Poisoned.",,,,,Ken Sugimori,"Flies at high speed and attacks using the large, venomous stingers on its forelegs and tail."
base1-18,base1,18,Dragonair,Stage 1,Dratini,80,C,,,P,-30,2,Rare,148,,,,Slam,CCC,30×,Flip 2 coins. This attack does 30 damage times the number of heads.,Hyper Beam,CCCC,20,"If the Defending Pokémon has any Energy cards attached to it, choose 1 of them and discard it.",,,,,Mitsuhiro Arita,A mystical Pokémon that exudes a gentle aura. Has the ability to change climate conditions.
base1-19,base1,19,Dugtrio,Stage 1,Diglett,70,F,G,x2,L,-30,2,Rare,51,,,,Slash,FFC,40,,Earthquake,FFFF,70,Does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),,,,,Keiji Kinebuchi,A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground.
base1-20,base1,20,Electabuzz,Basic,,70,L,F,x2,,,2,Rare,125,,,,Thundershock,L,10,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Thunderpunch,LC,30+,"Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage plus Electabuzz does 10 damage to itself.",,,,,Ken Sugimori,"Normally found near power plants, it can wander away and cause major blackouts in cities."
base1-21,base1,21,Electrode,Stage 1,Voltorb,80,L,F,x2,,,1,Rare,101,Pokémon Power,Buzzap,"At any time during your turn (before your attack), you may Knock Out Electrode and attach it to 1 of your other Pokémon. If you do, choose a type of Energy. Electrode is now an Energy card (instead of a Pokémon) that provides 2 energy of that type. You can't use this power if Electrode is Asleep, Confused, or Paralyzed.",Electric Shock,LLL,50,"Flip a coin. If tails, Electrode does 10 damage to itself.",,,,,,,,,Keiji Kinebuchi,It stores electrical energy under very high pressure. It often explodes with little or no provocation.
base1-22,base1,22,Pidgeotto,Stage 1,Pidgey,60,C,L,x2,F,-30,1,Rare,17,,,,Whirlwind,CC,20,"If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon.)",Mirror Move,CCC,,"If Pidgeotto was attacked last turn, do the final result of that attack on Pidgeotto to the Defending Pokémon.",,,,,Ken Sugimori,"Very protective of its sprawling territory, this Pokémon will fiercely peck at any intruder."
base1-23,base1,23,Arcanine,Stage 1,Growlithe,100,R,W,x2,,,3,Uncommon,59,,,,Flamethrower,RRC,50,Discard 1 Fire Energy card attached to Arcanine in order to use this attack.,Take Down,RRCC,80,Arcanine does 30 damage to itself.,,,,,Ken Sugimori,"A Pokémon that has been long admired for its beauty. It runs gracefully, as if on wings."
base1-24,base1,24,Charmeleon,Stage 1,Charmander,80,R,W,x2,,,1,Uncommon,5,,,,Slash,CCC,30,,Flamethrower,RRC,50,Discard 1 Fire Energy card attached to Charmeleon in order to use this attack.,,,,,Mitsuhiro Arita,"When it swings its burning tail, it raises the temperature to unbearably high levels."
base1-25,base1,25,Dewgong,Stage 1,Seel,80,W,L,x2,,,3,Uncommon,87,,,,Aurora Beam,WWC,50,,Ice Beam,WWCC,30,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,,,,Mitsuhiro Arita,Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.
base1-26,base1,26,Dratini,Basic,,40,C,,,P,-30,1,Uncommon,147,,,,Pound,C,10,,,,,,,,,,Ken Sugimori,"Long considered a mythical Pokémon until recently, when a small colony was found living underwater."
base1-27,base1,27,Farfetch'd,Basic,,50,C,L,x2,F,-30,1,Uncommon,83,,,,Leek Slap,C,30,"Flip a coin. If tails, this attack does nothing. Either way, you can't use this attack again as long as Farfetch'd stays in play (even putting Farfetch'd on the Bench won't let you use it again).",Pot Smash,CCC,30,,,,,,Ken Sugimori,The sprig of green onions it holds is its weapon. This sprig is used much like a metal sword.
base1-28,base1,28,Growlithe,Basic,,60,R,W,x2,,,1,Uncommon,58,,,,Flare,RC,20,,,,,,,,,,Ken Sugimori,Very protective of its territory. It will bark and bite to repel intruders from its space.
base1-29,base1,29,Haunter,Stage 1,Gastly,60,P,,,F,-30,1,Uncommon,93,,,,Hypnosis,P,,The Defending Pokémon is now Asleep.,Dream Eater,PP,50,You can't use this attack unless the Defending Pokémon is Asleep.,,,,,Keiji Kinebuchi,"Because of its ability to slip through block walls, it is said to be from another dimension."
base1-30,base1,30,Ivysaur,Stage 1,Bulbasaur,60,G,R,x2,,,1,Uncommon,2,,,,Vine Whip,GCC,30,,Poisonpowder,GGG,20,The Defending Pokémon is now Poisoned.,,,,,Ken Sugimori,"When the bulb on its back grows large, the Pokémon seems to lose the ability to stand on its hind legs."
base1-31,base1,31,Jynx,Basic,,70,P,P,x2,,,2,Uncommon,124,,,,Doubleslap,P,10×,Flip 2 coins. This attack does 10 damage times the number of heads.,Meditate,PPC,20+,Does 20 damage plus 10 more damage for each damage counter on the Defending Pokémon.,,,,,Ken Sugimori,"Merely by meditating, the Pokémon launches a powerful psychic energy attack."
base1-32,base1,32,Kadabra,Stage 1,Abra,60,P,P,x2,,,3,Uncommon,64,,,,Recover,PP,,Discard 1 Psychic Energy card attached to Kadabra in order to use this attack. Remove all damage counters from Kadabra.,Super Psy,PPC,50,,,,,,Ken Sugimori,It emits special alpha waves from its body that induce headaches even to those just nearby.
base1-33,base1,33,Kakuna,Stage 1,Weedle,80,G,R,x2,,,2,Uncommon,14,,,,Stiffen,CC,,"Flip a coin. If heads, prevent all damage done to Kakuna during your opponent's next turn. (Any other effects of attacks still happen.)",Poisonpowder,GG,20,"Flip a coin. If heads, the Defending Pokémon is now Poisoned.",,,,,Keiji Kinebuchi,"Almost incapable of moving, this Pokémon can only harden its shell to protect itself from predators."
base1-34,base1,34,Machoke,Stage 1,Machop,80,F,P,x2,,,3,Uncommon,67,,,,Karate Chop,FFC,50-,Does 50 damage minus 10 damage for each damage counter on Machoke.,Submission,FFCC,60,Machoke does 20 damage to itself.,,,,,Ken Sugimori,Its muscular body is so powerful that it must wear a power-save belt to help regulate its motions.
base1-35,base1,35,Magikarp,Basic,,30,W,L,x2,,,1,Uncommon,129,,,,Tackle,C,10,,Flail,W,10×,Does 10 damage times the number of damage counters on Magikarp.,,,,,Mitsuhiro Arita,"In the distant past, it was stronger than its horribly weak descendants that exist today."
base1-36,base1,36,Magmar,Basic,,50,R,W,x2,,,2,Uncommon,126,,,,Fire Punch,RR,30,,Flamethrower,RRC,50,Discard 1 Fire Energy card attached to Magmar in order to use this attack.,,,,,Ken Sugimori,Its body always burns with an orange glow that enables it to hide perfectly among flames.
base1-37,base1,37,Nidorino,Stage 1,Nidoran ♂,60,G,P,x2,,,1,Uncommon,33,,,,Double Kick,GCC,30×,Flip 2 coins. This attack does 30 damage times the number of heads.,Horn Drill,GGCC,50,,,,,,Mitsuhiro Arita,An aggressive Pokémon that is quick to attack. The horn on its head secretes a powerful venom.
base1-38,base1,38,Poliwhirl,Stage 1,Poliwag,60,W,G,x2,,,1,Uncommon,61,,,,Amnesia,WW,,Choose 1 of the Defending Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.,Doubleslap,WWC,30×,Flip 2 coins. This attack does 30 damage times the number of heads.,,,,,Ken Sugimori,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy."
base1-39,base1,39,Porygon,Basic,,30,C,F,x2,P,-30,1,Uncommon,137,,,,Conversion 1,C,,"If the Defending Pokémon has a Weakness, you may change it to a type of your choice other than Colorless.",Conversion 2,CC,,Change Porygon's Resistance to a type of your choice other than Colorless.,,,,,Tomoaki Imakuni,A Pokémon that consists entirely of programming code. Capable of moving freely in cyberspace.
base1-40,base1,40,Raticate,Stage 1,Rattata,60,C,F,x2,P,-30,1,Uncommon,20,,,,Bite,C,20,,Super Fang,CCC,?,Does damage to the Defending Pokémon equal to half the Defending Pokémon's remaining HP (rounded up to the nearest 10).,,,,,Ken Sugimori,It uses its whiskers to maintain its balance. It seems to slow down if they are cut off.
base1-41,base1,41,Seel,Basic,,60,W,L,x2,,,1,Uncommon,86,,,,Headbutt,W,10,,,,,,,,,,Ken Sugimori,The protruding horn on its head is very hard. This horn is used for bashing through thick ice.
base1-42,base1,42,Wartortle,Stage 1,Squirtle,70,W,L,x2,,,1,Uncommon,8,,,,Withdraw,WC,,"Flip a coin. If heads, prevent all damage done to Wartortle during your opponent's next turn. (Any other effects of attacks still happen.)",Bite,WCC,40,,,,,,Ken Sugimori,"Often hides in water to stalk unweary prey. When swimming quickly, it moves its ears to maintain balance."
base1-43,base1,43,Abra,Basic,,30,P,P,x2,,,0,Common,63,,,,Psyshock,P,10,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,,,,,,,,Mitsuhiro Arita,"Using its ability to read minds, it will identify impending danger and teleport to safety."
base1-44,base1,44,Bulbasaur,Basic,,40,G,R,x2,,,1,Common,1,,,,Leech Seed,GG,20,"Unless all damage from this attack is prevented, you may remove 1 damage counter from Bulbasaur.",,,,,,,,,Mitsuhiro Arita,"A strange seed was planted on its back at birth. Thus, a plant sprouted and now grows with this Pokémon."
base1-45,base1,45,Caterpie,Basic,,40,G,R,x2,,,1,Common,10,,,,String Shot,G,10,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,,,,,,,,Ken Sugimori,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
base1-46,base1,46,Charmander,Basic,,50,R,W,x2,,,1,Common,4,,,,Scratch,C,10,,Ember,RC,30,Discard 1 Fire Energy card attached to Charmander in order to use this attack.,,,,,Mitsuhiro Arita,"Obviously prefers hot places. If it gets caught in the rain, steam is said to spout from the tip of its tail."
base1-47,base1,47,Diglett,Basic,,30,F,G,x2,L,-30,0,Common,50,,,,Dig,F,10,,Mud Slap,FF,30,,,,,,Keiji Kinebuchi,"Lives about three feet underground, where it feeds on plant roots. It sometimes appears above ground."
base1-48,base1,48,Doduo,Basic,,50,C,L,x2,F,-30,0,Common,84,,,,Fury Attack,C,10×,Flip 2 coins. This attack does 10 damage times the number of heads.,,,,,,,,,Mitsuhiro Arita,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.
base1-49,base1,49,Drowzee,Basic,,50,P,P,x2,,,1,Common,96,,,,Pound,C,10,,Confuse Ray,PP,10,"Flip a coin. If heads, the Defending Pokémon is now Confused.",,,,,Ken Sugimori,"Puts enemies to sleep, then eats their dreams. Occasionally gets sick from eating bad dreams."
base1-50,base1,50,Gastly,Basic,,30,P,,,F,-30,0,Common,92,,,,Sleeping Gas,P,,"Flip a coin. If heads, the Defending Pokémon is now Asleep.",Destiny Bond,PC,,"Discard 1 Psychic Energy card attached to Gastly in order to use this attack. If a Pokémon Knocks Out Gastly during your opponent's next turn, Knock Out that Pokémon.",,,,,Keiji Kinebuchi,"Almost invisible, this gaseous Pokémon cloaks the target and puts it to sleep without notice."
base1-51,base1,51,Koffing,Basic,,50,G,P,x2,,,1,Common,109,,,,Foul Gas,GG,10,"Flip a coin. If heads, the Defending Pokémon is now Poisoned; if tails, it is now Confused.",,,,,,,,,Mitsuhiro Arita,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning."
base1-52,base1,52,Machop,Basic,,50,F,P,x2,,,1,Common,66,,,,Low Kick,F,20,,,,,,,,,,Mitsuhiro Arita,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.
base1-53,base1,53,Magnemite,Basic,,40,L,F,x2,,,1,Common,81,,,,Thunder Wave,L,10,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Selfdestruct,LC,40,Does 10 damage to each Pokémon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokémon.) Magnemite does 40 damage to itself.,,,,,Keiji Kinebuchi,Uses anti-gravity to stay suspended. Appears without warning and uses attacks like Thunder Wave.
base1-54,base1,54,Metapod,Stage 1,Caterpie,70,G,R,x2,,,2,Common,11,,,,Stiffen,CC,,"Flip a coin. If heads, prevent all damage done to Metapod during your opponent's next turn. (Any other effects of attacks still happen.)",Stun Spore,GG,20,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,,,,Ken Sugimori,"It is vulnerable to attack because its shell is soft, exposing its weak and tender body."
base1-55,base1,55,Nidoran ♂,Basic,,40,G,P,x2,,,1,Common,32,,,,Horn Hazard,G,30,"Flip a coin. If tails, this attack does nothing.",,,,,,,,,Ken Sugimori,"Stiffens its ears to sense danger. The larger, more powerful of its horns secretes venom."
base1-56,base1,56,Onix,Basic,,90,F,G,x2,,,3,Common,95,,,,Rock Throw,F,10,,Harden,FF,,"During your opponent's next turn, whenever 30 or less damage is done to Onix (after applying Weakness and Resistance), prevent that damage. (Any other effects of attacks still happen.)",,,,,Ken Sugimori,"As it grows, the stone portions of its body harden to become similar to a diamond, though colored black."
base1-57,base1,57,Pidgey,Basic,,40,C,L,x2,F,-30,1,Common,16,,,,Whirlwind,CC,10,"If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon.)",,,,,,,,,Ken Sugimori,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
base1-58,base1,58,Pikachu,Basic,,40,L,F,x2,,,1,Common,25,,,,Gnaw,C,10,,Thunder Jolt,LC,30,"Flip a coin. If tails, Pikachu does 10 damage to itself.",,,,,Mitsuhiro Arita,"When several of these Pokémon gather, their electricity can cause lightning storms."
base1-59,base1,59,Poliwag,Basic,,40,W,G,x2,,,1,Common,60,,,,Water Gun,W,10+,Does 10 damage plus 10 more damage for each Water Energy attached to Poliwag but not used to pay for this attack's Energy cost. Extra Water Energy after the 2nd don't count.,,,,,,,,,Ken Sugimori,Its newly grown legs prevent it from running. It appears to prefer swimming over trying to stand.
base1-60,base1,60,Ponyta,Basic,,40,R,W,x2,,,1,Common,77,,,,Smash Kick,CC,20,,Flame Tail,RR,30,,,,,,Ken Sugimori,Its hooves are 10 times harder than diamonds. It can trample anything flat in moments.
base1-61,base1,61,Rattata,Basic,,30,C,F,x2,P,-30,0,Common,19,,,,Bite,C,20,,,,,,,,,,Mitsuhiro Arita,"Bites anything when it attacks. Small and very quick, it is a common sight in many places."
base1-62,base1,62,Sandshrew,Basic,,40,F,G,x2,L,-30,1,Common,27,,,,Sand-attack,F,10,"If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.",,,,,,,,,Ken Sugimori,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.
base1-63,base1,63,Squirtle,Basic,,40,W,L,x2,,,1,Common,7,,,,Bubble,W,10,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Withdraw,WC,,"Flip a coin. If heads, prevent all damage done to Squirtle during your opponent's next turn. (Any other effects of attacks still happen.)",,,,,Mitsuhiro Arita,"After birth, its back swells and hardens into a shell. It powerfully sprays foam from its mouth."
base1-64,base1,64,Starmie,Stage 1,Staryu,60,W,L,x2,,,1,Common,121,,,,Recover,WW,,Discard 1 Water Energy card attached to Starmie in order to use this attack. Remove all damage counters from Starmie.,Star Freeze,WCC,20,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,,,,Keiji Kinebuchi,Its central core glows with the seven colors of the rainbow. Some people value this core as a gem.
base1-65,base1,65,Staryu,Basic,,40,W,L,x2,,,1,Common,120,,,,Slap,W,20,,,,,,,,,,Keiji Kinebuchi,An enigmatic Pokémon that can effortlessly regenerate any appendage it loses in battle.
base1-66,base1,66,Tangela,Basic,,50,G,R,x2,,,2,Common,114,,,,Bind,GC,20,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Poisonpowder,GGG,20,The Defending Pokémon is now Poisoned.,,,,,Mitsuhiro Arita,Its whole body is swathed with wide vines that are similar to seaweed. These vines shake as it walks.
base1-67,base1,67,Voltorb,Basic,,40,L,F,x2,,,1,Common,100,,,,Tackle,C,10,,,,,,,,,,Keiji Kinebuchi,"Usually found in power plants. Easily mistaken for a Monster Ball, it has zapped many people."
base1-68,base1,68,Vulpix,Basic,,50,R,W,x2,,,1,Common,37,,,,Confuse Ray,RR,10,"Flip a coin. If heads, the Defending Pokémon is now Confused.",,,,,,,,,Ken Sugimori,"At the time of birth, it has just one tail. Its tail splits from the tip as it grows older."
base1-69,base1,69,Weedle,Basic,,40,G,R,x2,,,1,Common,13,,,,Poison Sting,G,10,"Flip a coin. If heads, the Defending Pokémon is now Poisoned.",,,,,,,,,Mitsuhiro Arita,"Often found in forests, eating leaves. It has a sharp, venomous stinger on its head."
base2-1,base2,1,Clefable,Stage 1,Clefairy,70,C,F,x2,P,-30,2,Rare Holo,36,,,,Metronome,C,,"Choose 1 of the Defending Pokémon's attacks. Metronome copies that attack except for its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. (No matter what type the Defending Pokémon is, Clefable's type is still Colorless.)",Minimize,CC,,All damage done by attacks to Clefable during your opponent's next turn is reduced by 20 (after applying Weakness and Resistance).,,,,,Mitsuhiro Arita,A timid Fairy Pokémon that is rarely seen. It will run and hide the moment it senses people.
base2-2,base2,2,Electrode,Stage 1,Voltorb,90,L,F,x2,,,1,Rare Holo,101,,,,Tackle,CC,20,,Chain Lightning,LLL,20,"If the Defending Pokémon isn't Colorless, this attack does 10 damage to each Benched Pokémon of the same type as the Defending Pokémon (including your own).",,,,,Mitsuhiro Arita,It stores electrical energy under very high pressure. It often explodes with little or no provocation.
base2-3,base2,3,Flareon,Stage 1,Eevee,70,R,W,x2,,,1,Rare Holo,136,,,,Quick Attack,CC,10+,"Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.",Flamethrower,RRCC,60,Discard 1 Fire Energy card attached to Flareon in order to use this attack.,,,,,Kagemaru Himeno,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees."
base2-4,base2,4,Jolteon,Stage 1,Eevee,70,L,F,x2,,,1,Rare Holo,135,,,,Quick Attack,CC,10+,"Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.",Pin Missile,LLC,20×,Flip 4 coins. This attack does 20 damage times the number of heads.,,,,,Kagemaru Himeno,"It accumulates negative ions from the atmosphere to blast out 10,000-volt lightning bolts."
base2-5,base2,5,Kangaskhan,Basic,,90,C,F,x2,P,-30,3,Rare Holo,115,,,,Fetch,C,,Draw a card.,Comet Punch,CCCC,20×,Flip 4 coins. This attack does 20 damage times the number of heads.,,,,,Mitsuhiro Arita,The infant rarely ventures out of its mother's protective pouch until it is three years old.
base2-6,base2,6,Mr. Mime,Basic,,40,P,P,x2,,,1,Rare Holo,122,Pokémon Power,Invisible Wall,"Whenever an attack (including your own) does 30 or more damage to Mr. Mime (after applying Weakness and Resistance), prevent that damage. (Any other effects of attacks still happen.) This power can't be used if Mr. Mime is Asleep, Confused, or Paralyzed.",Meditate,PC,10+,Does 10 damage plus 10 more damage for each damage counter on the Defending Pokémon.,,,,,,,,,Ken Sugimori,"If interrupted while miming, it will slap around the enemy with its broad hands."
base2-7,base2,7,Nidoqueen,Stage 2,Nidorina,90,G,P,x2,,,3,Rare Holo,31,,,,Boyfriends,GC,20+,Does 20 damage plus 20 more damage for each Nidoking you have in play.,Mega Punch,GGCC,50,,,,,,Ken Sugimori,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.
base2-8,base2,8,Pidgeot,Stage 2,Pidgeotto,80,C,L,x2,F,-30,0,Rare Holo,18,,,,Wing Attack,CC,20,,Hurricane,CCC,30,"Unless this attack Knocks Out the Defending Pokémon, return the Defending Pokémon and all cards attached to it to your opponent's hand.",,,,,Kagemaru Himeno,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp."
base2-9,base2,9,Pinsir,Basic,,60,G,R,x2,,,1,Rare Holo,127,,,,Irongrip,GG,20,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Guillotine,GGCC,50,,,,,,Kagemaru Himeno,"If it fails to crush the victim in its pincers, it will swing its victim around and toss it hard."
base2-10,base2,10,Scyther,Basic,,70,G,R,x2,F,-30,0,Rare Holo,123,,,,Swords Dance,G,,"During your next turn, Scyther's Slash attack's base damage is 60 instead of 30.",Slash,CCC,30,,,,,,Ken Sugimori,"With ninja-like agility and speed, it can create the illusion that there is more than one of it."
